key,source,basis,place,article,sentence,coord_source,merged_series
名探偵コナン 世紀末の魔術師(通天閣),Wikipedia由来,登場,通天閣,名探偵コナン 世紀末の魔術師,新幹線でコナンたちが降り立った新大阪駅から、大阪城、通天閣、大阪ドーム、公開当時の読売テレビ社屋など、実在する建造物を多数見ることができる,osm(wikidata:Q1148463),
名探偵コナン 紅の修学旅行,Wikipedia由来,登場,清水寺,名探偵コナン 紅の修学旅行,清水寺の舞台で毛利蘭や鈴木園子、世良真純らと歓談していると、女優の鞍知景子に声を掛けられ、ある暗号の解読を依頼される,osm(wikidata:Q221716),
名探偵コナン 迷宮の十字路(南禅寺),Wikipedia由来,登場,南禅寺,名探偵コナン 迷宮の十字路,江戸川コナンたちが訪れた観光地では、京都タワー・清水寺・先斗町・蹴上インクライン・南禅寺・鞍馬寺・梅小路公園などが描かれており、神社・駅舎・公園などが非常に細かく再現されている,osm(wikidata:Q1089767),
名探偵コナン 迷宮の十字路(清水寺),Wikipedia由来,登場,清水寺,名探偵コナン 迷宮の十字路,江戸川コナンたちが訪れた観光地では、京都タワー・清水寺・先斗町・蹴上インクライン・南禅寺・鞍馬寺・梅小路公園などが描かれており、神社・駅舎・公園などが非常に細かく再現されている,osm(wikidata:Q221716),
名探偵コナン 迷宮の十字路(京都タワー),Wikipedia由来,登場,京都タワー,名探偵コナン 迷宮の十字路,江戸川コナンたちが訪れた観光地では、京都タワー・清水寺・先斗町・蹴上インクライン・南禅寺・鞍馬寺・梅小路公園などが描かれており、神社・駅舎・公園などが非常に細かく再現されている,osm(wikidata:Q1201304),
名探偵コナン 迷宮の十字路(梅小路公園),Wikipedia由来,登場,梅小路公園,名探偵コナン 迷宮の十字路,江戸川コナンたちが訪れた観光地では、京都タワー・清水寺・先斗町・蹴上インクライン・南禅寺・鞍馬寺・梅小路公園などが描かれており、神社・駅舎・公園などが非常に細かく再現されている,osm(wikidata:Q11538444),
名探偵コナン 迷宮の十字路(鞍馬寺),Wikipedia由来,登場,鞍馬寺,名探偵コナン 迷宮の十字路,江戸川コナンたちが訪れた観光地では、京都タワー・清水寺・先斗町・蹴上インクライン・南禅寺・鞍馬寺・梅小路公園などが描かれており、神社・駅舎・公園などが非常に細かく再現されている,osm(wikidata:Q608668),
名探偵コナン 迷宮の十字路(鞍馬駅),Wikipedia由来,登場,鞍馬駅,名探偵コナン 迷宮の十字路,一方で、叡山電鉄鞍馬駅や叡山電鉄900系きららと思わしき車両も登場するが、900系は実物とは塗装が異なっている,osm(wikidata:Q6445553),
天体戦士サンレッド(武蔵溝ノ口駅),Wikipedia由来,登場,武蔵溝ノ口駅,天体戦士サンレッド,作中にはマルイファミリー溝口 (cf.) や武蔵溝ノ口駅前周辺、溝の口駅西口商店街、高津市民館等も登場するが、それらは設定の上で施設名を変えられてはいても、デザイン等の強い相似性から当地域に詳しければ一目で特定できる描かれ方となっている（例えば、作中に登場する「溝の口病院」は、現実世界の帝京大学医学部附属溝口病院がこれに相当する）,osm(wikidata:Q5367854),
天体戦士サンレッド(二子橋),Wikipedia由来,登場,二子橋,天体戦士サンレッド,本編には登場しないが、1期OPで二子橋を二子玉川駅方面から川崎側に疾走する形で登場する,osm(wikidata:Q11371453),
宙のまにまに(さいたま市青少年宇宙科学館),Wikipedia由来,登場,さいたま市青少年宇宙科学館,宙のまにまに,さいたま市青少年宇宙科学館がモデルになっている,osm(wikidata:Q11267509),
宙のまにまに(北朝霞駅),Wikipedia由来,登場,北朝霞駅,宙のまにまに,駅の周辺や外観などは埼玉県の北朝霞駅（および隣接する東武東上線朝霞台駅）、車両は同駅を通る武蔵野線で使用されていたオレンジ一色の車両が描かれている,osm(wikidata:Q6417515),
東京マグニチュード8.0(芝公園),Wikipedia由来,登場,芝公園,東京マグニチュード8.0,芝公園 - 避難所として登場する,jawiki,
東京マグニチュード8.0(レインボーブリッジ),Wikipedia由来,登場,レインボーブリッジ,東京マグニチュード8.0,連絡橋 - 劇中の連絡橋はレインボーブリッジに酷似しており、第3話でも水上バスで避難中の被災者のセリフに「〜ブリッジが」とぼかした形で登場する,osm(wikidata:Q1046736),
鬼神伝,Wikipedia由来,登場,八坂神社,鬼神伝,八坂神社（劇場版で架空の神社として登場）,osm(wikidata:Q692714),
涼宮ハルヒシリーズ(香櫨園駅),公式選定,登場,香櫨園駅,涼宮ハルヒの憂鬱,アニメ版では阪神香櫨園駅付近にある西宮市立中央図書館がモデルとなった,osm(wikidata:Q11667657),
涼宮ハルヒシリーズ(アクタ西宮),公式選定,登場,アクタ西宮,涼宮ハルヒの憂鬱,原作『憂鬱』でのモデルは西宮北口駅前の大型複合施設アクタ西宮内の、西宮市立北口図書館である,jawiki,
涼宮ハルヒシリーズ(甲山),公式選定,登場,甲山,涼宮ハルヒの憂鬱,谷川流はモデルは甲山と語っているDVD『涼宮ハルヒの憂鬱 5.999999(第8巻) 』収録のロケハン映像,osm(wikidata:Q8524598),
涼宮ハルヒシリーズ(夙川公園),公式選定,登場,夙川公園,涼宮ハルヒの憂鬱,名前はアニメ版のみ登場し、阪急甲陽線沿線の夙川、夙川公園（読みは同じく「しゅくがわ」）がモデルで 2021年5月、実際に桜の名所である,jawiki,
美少女戦士セーラームーン(一の橋公園),Wikipedia由来,登場,一の橋公園,美少女戦士セーラームーン,東京都港区麻布十番に実在する公園。待ち合わせ場所にしたり、テレポートを行ったりと、シリーズを通して比較的重要な場所となる,osm(wikidata:Q11352269),
美少女戦士セーラームーン(有栖川宮記念公園),Wikipedia由来,登場,有栖川宮記念公園,美少女戦士セーラームーン,東京都港区南麻布に実在する公園。ちびうさが初登場時に逃げ込んだ場所,osm(wikidata:Q4791114),
美少女戦士セーラームーン(赤坂氷川神社),Wikipedia由来,モデル,赤坂氷川神社,美少女戦士セーラームーン,モデルは東京都港区元麻布の氷川神社（原作）、東京都港区赤坂の赤坂氷川神社（旧作アニメ）,osm(wikidata:Q3135503),
頭文字D(赤城山),公式選定,舞台,赤城山,頭文字D,赤城山を本拠地とするチーム「赤城レッドサンズ」のナンバー2・高橋啓介に勝利したことで、「秋名のハチロク」の噂は群馬県内全域に広まっていく,osm(wikidata:Q415251),
頭文字D(妙義山),公式選定,舞台,妙義山,頭文字D,妙義山での中里と清次、赤城山での啓介と渉のバトルは収録されなかった,osm(wikidata:Q994071),
頭文字D_2,公式選定,舞台,いろは坂,頭文字D,栃木県日光市のいろは坂を本拠地とするランエボ軍団「エンペラー」が群馬エリアへ侵攻,osm(名前一致),
彼女、お借りします(スパリゾートハワイアンズ),Wikipedia由来,登場,スパリゾートハワイアンズ,彼女、お借りします,和が家族旅行の行き先として選んだ大型レジャー施設。（中略）なお、このレジャー施設は福島県いわき市に実在するものである,osm(wikidata:Q7572157),
ドラえもん(高岡古城公園),Wikipedia由来,モデル,高岡古城公園,ドラえもん,モデルは少年時代の作者が息抜きに通っていた高岡古城公園ともされ、開発が及んでいない緑豊かな土地である,jawiki(高岡城),
その着せ替え人形は恋をする(サンシャイン水族館),公式選定,舞台,サンシャイン水族館,その着せ替え人形は恋をする,（撮影地：第14話の舞台となった「池袋サンシャイン水族館」）,osm(wikidata:Q11250698),
3月のライオン_2,Wikipedia由来,モデル,月島,3月のライオン,三月町は、東京都中央区月島がモデルとなっている,osm(wikidata:Q1048979),
透明な夜に駆ける君と、目に見えない恋をした。_2,Wikipedia由来,舞台,月島,透明な夜に駆ける君と、目に見えない恋をした。,月島から門前仲町にかけての隅田川沿いが舞台となっている,osm(wikidata:Q1048979),
乙女怪獣キャラメリゼ,Wikipedia由来,エリア,中央区(東京都),乙女怪獣キャラメリゼ,Wikipedia(ja)のカテゴリ「東京都中央区を舞台とした漫画作品」に属する,osm(wikidata:Q212704),
月面兎兵器ミーナ,Wikipedia由来,エリア,中央区(東京都),月面兎兵器ミーナ,Wikipedia(ja)のカテゴリ「東京都中央区を舞台とした作品」に属する,osm(wikidata:Q212704),
かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜,Wikipedia由来,エリア,港区(東京都),かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜,Wikipedia(ja)のカテゴリ「東京都港区を舞台とした漫画作品」に属する,osm(wikidata:Q190088),
まほらば,Wikipedia由来,エリア,港区(東京都),まほらば,Wikipedia(ja)のカテゴリ「東京都港区を舞台とした作品」に属する,osm(wikidata:Q190088),
大正野球娘。,Wikipedia由来,エリア,港区(東京都),大正野球娘。,Wikipedia(ja)のカテゴリ「東京都港区を舞台とした小説」に属する,osm(wikidata:Q190088),
はたらく魔王さま!(笹塚駅),Wikipedia由来,舞台,笹塚駅,はたらく魔王さま!,作品の舞台となる京王線・京王新線笹塚駅,osm(wikidata:Q841861),
四畳半神話大系,Wikipedia由来,舞台,賀茂大橋,四畳半神話大系,物語の重要な舞台の一つで、小説版の各話およびアニメ版最終回は、大量発生した蛾が賀茂大橋に飛来する,osm(名前一致: 加茂大橋),
四畳半神話大系(蹴上インクライン),Wikipedia由来,ロケハン,蹴上インクライン,四畳半神話大系,舞台となる京都市内の描写に関しては、インクラインや四条河原町界隈、京都大学などで1か月弱にわたって徹底的にロケハンが行われた,osm(wikidata:Q17990723),
桃源暗鬼,Wikipedia由来,登場,清水寺,桃源暗鬼,京都隊本部である清水寺にて四季は援護部隊という戦場で戦う花魅坂京夜、両親を唾切に殺された少女・芽衣と出会う,osm(wikidata:Q221716),
おおきく振りかぶって,Wikipedia由来,モデル,埼玉県立浦和西高等学校,おおきく振りかぶって,舞台となっている埼玉県立西浦高校は、作者ひぐちアサの母校である埼玉県立浦和西高等学校がモデルとなっている,osm(wikidata:Q7402539),
らき☆すた(春日部共栄高等学校),公式選定,モデル,春日部共栄高等学校,らき☆すた,作中の陵桜学園高等学校のモデルは春日部共栄高等学校（春日部市内）,osm(wikidata:Q11513697),
心が叫びたがってるんだ。(足利南高等学校),公式選定,モデル,栃木県立足利南高等学校,心が叫びたがってるんだ。,作中の揚羽高等学校の校舎のモデルは栃木県立足利南高等学校,osm(wikidata:Q11535278),
宇宙よりも遠い場所(桐生市立商業高等学校),公式選定,モデル,桐生市立商業高等学校,宇宙よりも遠い場所,作中の舞台では館林となっているが、モデルとなっているのは協力クレジットもされている桐生市立商業高等学校である,osm(wikidata:Q11537296),
からかい上手の高木さん(土庄中学校),公式選定,舞台,土庄中学校,からかい上手の高木さん,アニメ版では作者の出身地である香川県小豆島、および同島内の土庄中学校であると設定されている,osm(名前一致: 町立土庄中学校),
青春ブタ野郎シリーズ(七里ガ浜高等学校),公式選定,モデル,神奈川県立七里ガ浜高等学校,青春ブタ野郎シリーズ,モデルは神奈川県立七里ガ浜高等学校で、七里ヶ浜がよく見える3階建ての建物とされている,osm(wikidata:Q11589002),
美少女戦士セーラームーン(東洋英和女学院),Wikipedia由来,モデル,東洋英和女学院,美少女戦士セーラームーン,モデルは港区六本木に存在する東洋英和女学院,osm(名前一致: 私立 東洋英和女学院中学部 高等部),
美少女戦士セーラームーン(麻布中学校・高等学校),Wikipedia由来,モデル,麻布中学校・高等学校,美少女戦士セーラームーン,モデルは港区元麻布に存在する麻布中学校・高等学校,osm(wikidata:Q4832009),
美少女戦士セーラームーン(慶應義塾大学三田キャンパス),Wikipedia由来,モデル,慶應義塾大学三田キャンパス,美少女戦士セーラームーン,モデルは東京都港区に存在する慶應義塾大学三田キャンパス,jawiki(慶應義塾大学),
美少女戦士セーラームーン(港区立南山小学校),Wikipedia由来,モデル,港区立南山小学校,美少女戦士セーラームーン,モデルは東京都港区に存在する港区立南山小学校,osm(wikidata:Q22120480),
大奥_3,Wikipedia由来,エリア,中央区(東京都),大奥 (漫画),Wikipedia(ja)のカテゴリ「東京都中央区を舞台とした漫画作品」に属する,osm(wikidata:Q212704),
バブル,Wikipedia由来,エリア,港区(東京都),バブル (2022年の映画),Wikipedia(ja)のカテゴリ「東京都港区を舞台とした映画作品」に属する,osm(wikidata:Q190088),
ど根性ガエル_2,Wikipedia由来,モデル,石神井公園,ど根性ガエル,カエルのピョン吉が公園（東京都練馬区の石神井公園がモデル,osm(wikidata:Q4388784),
恋は雨上がりのように_2,Wikipedia由来,登場,横浜ランドマークタワー,恋は雨上がりのように,とある海辺の街を舞台に作中では、横浜ランドマークタワーが背景として頻繁に登場する,jawiki,
新幹線変形ロボ シンカリオン,Wikipedia由来,舞台,鉄道博物館,新幹線変形ロボ シンカリオン,本作では鉄道博物館のほか、碓氷峠鉄道文化むらが主要な舞台と1つとなっている,osm(wikidata:Q846106),
新幹線変形ロボ シンカリオン(碓氷峠鉄道文化むら),Wikipedia由来,舞台,碓氷峠鉄道文化むら,新幹線変形ロボ シンカリオン,本作では鉄道博物館のほか、碓氷峠鉄道文化むらが主要な舞台と1つとなっている,osm(名前一致),
青のオーケストラ(東京藝術大学音楽高等学校),公式選定,モデル,東京藝術大学音楽学部附属音楽高等学校,青のオーケストラ,モデルとなった高校は、東京藝術大学音楽学部附属音楽高等学校,jawiki,
おおかみこどもの雨と雪(一橋大学),公式選定,モデル,一橋大学,おおかみこどもの雨と雪,花とおおかみおとこが出会った大学のモデルとなった一橋大学附属図書館,osm(wikidata:Q204626),
エリアの騎士(静岡学園中学校・高等学校),Wikipedia由来,モデル,静岡学園中学校・高等学校,エリアの騎士,モデルは静岡県の静岡学園中学校・高等学校,osm(wikidata:Q7499505),
エリアの騎士(三重県立四日市中央工業高等学校),Wikipedia由来,モデル,三重県立四日市中央工業高等学校,エリアの騎士,モデルは三重県の三重県立四日市中央工業高等学校,jawiki,
ラブライブ!サンシャイン!!(長井崎中学校),公式選定,モデル,沼津市立長井崎中学校,ラブライブ!サンシャイン!!,Aqoursが通う浦の星女学院が実在の中学校である沼津市立長井崎中学校をモデルにしている,osm(名前一致),
アマガミ(椿山荘),公式選定,モデル,椿山荘,アマガミ,作中には近郊施設として、東京都内に位置する『大江戸温泉物語』や『椿山荘』をモデルとした場所も登場している,osm(wikidata:Q4404495),
邪神ちゃんドロップキック(フラノマルシェ),Wikipedia由来,登場,フラノマルシェ,邪神ちゃんドロップキック,テレビアニメでは富良野チーズ工房、フラノマルシェ、菓子司新谷、北真神社（へそ神社）、ワインの泉、ふらのワイナリー、吉田農園、麓郷展望台、五郎の石の家 風車、グラスフォレスト富良野、北海道中心標の石、新富良野プリンスホテルが登場,osm(名前一致),
邪神ちゃんドロップキック(富良野チーズ工房),Wikipedia由来,登場,富良野チーズ工房,邪神ちゃんドロップキック,テレビアニメでは富良野チーズ工房、フラノマルシェ、菓子司新谷、北真神社（へそ神社）、ワインの泉、ふらのワイナリー、吉田農園、麓郷展望台、五郎の石の家 風車、グラスフォレスト富良野、北海道中心標の石、新富良野プリンスホテルが登場,osm(名前一致),
邪神ちゃんドロップキック(麓郷展望台),Wikipedia由来,登場,麓郷展望台,邪神ちゃんドロップキック,テレビアニメでは富良野チーズ工房、フラノマルシェ、菓子司新谷、北真神社（へそ神社）、ワインの泉、ふらのワイナリー、吉田農園、麓郷展望台、五郎の石の家 風車、グラスフォレスト富良野、北海道中心標の石、新富良野プリンスホテルが登場,osm(名前一致),
邪神ちゃんドロップキック(新富良野プリンスホテル),Wikipedia由来,登場,新富良野プリンスホテル,邪神ちゃんドロップキック,テレビアニメでは富良野チーズ工房、フラノマルシェ、菓子司新谷、北真神社（へそ神社）、ワインの泉、ふらのワイナリー、吉田農園、麓郷展望台、五郎の石の家 風車、グラスフォレスト富良野、北海道中心標の石、新富良野プリンスホテルが登場,osm(名前一致),
Just Because!,Wikipedia由来,モデル,神奈川県立深沢高等学校,Just Because!,劇中に登場する柏尾川高校のモデルは神奈川県立深沢高等学校である,osm(wikidata:Q11589125),
少女ファイト,Wikipedia由来,モデル,江古田駅,少女ファイト,登場する舞台のモデルは西武池袋線近辺であり、特に江古田駅では学と未散がおにぎりを買う店や、登校シーンで描かれているゲームセンターや駅舎を実際に見ることができる,osm(wikidata:Q5350525),
東京大学物語,Wikipedia由来,モデル,北海道函館中部高等学校,東京大学物語,村上の通う高校は、北海道函館中部高等学校がモデルと言われている,osm(wikidata:Q11402591),
どんぐりの家,Wikipedia由来,モデル,埼玉県立特別支援学校大宮ろう学園,どんぐりの家,埼玉県立大宮ろう学校（現・埼玉県立特別支援学校大宮ろう学園）をモデルにした学校,osm(名前一致),
私に天使が舞い降りた!(聖蹟桜ヶ丘駅),公式選定,聖地,聖蹟桜ヶ丘駅,私に天使が舞い降りた!,多摩センター、聖蹟桜ヶ丘等、東京都多摩市が聖地である,osm(wikidata:Q1064646),
私に天使が舞い降りた!(多摩センター駅),公式選定,聖地,多摩センター駅,私に天使が舞い降りた!,多摩センター、聖蹟桜ヶ丘等、東京都多摩市が聖地である,osm(wikidata:Q988468),
究極超人あ〜る(田切駅),Wikipedia由来,舞台,田切駅,究極超人あ〜る,田切駅近くに建つ聖地巡礼発祥碑,osm(wikidata:Q989252),
長門有希ちゃんの消失(善光寺),Wikipedia由来,舞台,善光寺,長門有希ちゃんの消失,信州 善光寺 - アニメ版7話にて舞台となった,osm(wikidata:Q189640),
